date,hotspot_thailand_day,hotspot_thailand_night,hotspot_myanmar_day,hotspot_myanmar_night,hotspot_cambodia_day,hotspot_cambodia_night,hotspot_lao_pdr_day,hotspot_lao_pdr_night,hotspot_p_malaysia_day,hotspot_p_malaysia_night
2020-04-11,61.0,14.0,413.0,15.0,14.0,2.0,318.0,2.0,8.0,0.0
2020-04-12,36.0,0.0,257.0,8.0,19.0,0.0,242.0,0.0,4.0,1.0
2020-04-13,17.0,0.0,382.0,5.0,0.0,0.0,18.0,0.0,0.0,0.0
2020-04-14,26.0,1.0,489.0,16.0,5.0,0.0,53.0,0.0,2.0,0.0
2020-04-15,70.0,3.0,637.0,27.0,6.0,0.0,215.0,0.0,8.0,0.0
2020-04-16,53.0,5.0,221.0,8.0,26.0,0.0,775.0,1.0,24.0,0.0
2020-04-17,15.0,1.0,140.0,5.0,6.0,0.0,484.0,0.0,0.0,6.0
2020-04-18,13.0,0.0,309.0,5.0,13.0,0.0,156.0,0.0,0.0,1.0
2020-04-19,63.0,2.0,339.0,19.0,10.0,0.0,345.0,0.0,8.0,0.0
2020-04-20,108.0,14.0,424.0,47.0,46.0,0.0,835.0,7.0,33.0,0.0
2020-04-21,86.0,16.0,308.0,37.0,78.0,1.0,1560.0,34.0,7.0,0.0
2020-04-22,56.0,2.0,111.0,6.0,26.0,1.0,428.0,1.0,0.0,0.0
2020-04-23,14.0,0.0,143.0,7.0,25.0,1.0,63.0,0.0,0.0,0.0
2020-04-24,14.0,0.0,158.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,14.0,0.0,114.0,2.0,7.0,0.0,2.0,0.0,1.0,0.0
2020-04-26,21.0,0.0,59.0,1.0,58.0,0.0,10.0,0.0,0.0,0.0
2020-04-27,4.0,0.0,5.0,0.0,21.0,1.0,21.0,0.0,0.0,0.0
2020-04-28,27.0,0.0,7.0,0.0,71.0,6.0,82.0,4.0,0.0,0.0
